,agency,uploaded_on,value,uploaded_dt,dt_scrape,description
0,DEPARTMENT OF EDUCATION,2/7/2025,9475685.0,2025-02-07,2025-03-05-1332,
1,DEPARTMENT OF EDUCATION,2/7/2025,6862220.0,2025-02-07,2025-03-05-1332,
2,DEPARTMENT OF EDUCATION,2/7/2025,7323924.0,2025-02-07,2025-03-05-1332,
3,DEPARTMENT OF EDUCATION,2/10/2025,12192041.0,2025-02-10,2025-03-05-1332,
4,DEPARTMENT OF EDUCATION,2/10/2025,13757722.0,2025-02-10,2025-03-05-1332,
5,DEPARTMENT OF EDUCATION,2/10/2025,6262866.0,2025-02-10,2025-03-05-1332,
6,DEPARTMENT OF EDUCATION,2/10/2025,9999851.0,2025-02-10,2025-03-05-1332,
7,DEPARTMENT OF EDUCATION,2/10/2025,9219756.0,2025-02-10,2025-03-05-1332,
8,DEPARTMENT OF EDUCATION,2/10/2025,4525065.0,2025-02-10,2025-03-05-1332,
9,DEPARTMENT OF EDUCATION,2/10/2025,14252797.0,2025-02-10,2025-03-05-1332,
10,DEPARTMENT OF EDUCATION,2/10/2025,9876928.0,2025-02-10,2025-03-05-1332,
11,DEPARTMENT OF EDUCATION,2/10/2025,10261487.0,2025-02-10,2025-03-05-1332,
12,DEPARTMENT OF EDUCATION,2/10/2025,17731785.0,2025-02-10,2025-03-05-1332,
13,DEPARTMENT OF EDUCATION,2/10/2025,8652361.0,2025-02-10,2025-03-05-1332,
14,DEPARTMENT OF EDUCATION,2/10/2025,9146065.0,2025-02-10,2025-03-05-1332,
15,DEPARTMENT OF EDUCATION,2/10/2025,7220136.0,2025-02-10,2025-03-05-1332,
16,DEPARTMENT OF EDUCATION,2/10/2025,5406889.0,2025-02-10,2025-03-05-1332,
17,DEPARTMENT OF EDUCATION,2/10/2025,14797304.0,2025-02-10,2025-03-05-1332,
18,DEPARTMENT OF EDUCATION,2/10/2025,3348763.0,2025-02-10,2025-03-05-1332,
