piid,agency,vendor,value,description_doge,fpds_status,fpds_link,deleted_date,savings,award_agency,award_procurement_id,award_modification_num,ref_idv_agency,ref_idv_procurement_id,ref_idv_modification_num,date_signed,date_effective,date_complete,date_ult_complete_est,date_solicitation,amount_obligated,amount_obligated_total,amount_base_exercised_options,amount_base_exercised_options_total,amount_ultimate,amount_ultimate_total,entity_id,entity_name,entity_dba,cage_code,entity_street,entity_street_2,entity_city,entity_state,entity_zip,entity_county,entity_county_disp,entity_phone,entity_fax,entity_congressional_district,product_service_code,product_service_desc,principal_naics_code,principal_naics_desc,performance_state,performance_location,performance_country,performance_county,performance_city,performance_congressional_district,performance_zip,performance_zip_ext,requirement_desc,dt_scrape
24322623F0084,Office of Personnel Management,JTF BUSINESS SYSTEMS CORPORATION,410400,Managed Print and Copier Services for the Center for Leadership Development (CLD).,SUPPLEMENTAL AGREEMENT FOR WORK WITHIN SCOPE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2400&PIID=24322623F0084&modNumber=P00001&idvAgencyID=&idvPIID=GS03F0182V&contractType=AWARD,3/28/2025,268320,2400,24322623F0084,P00001,4730,GS03F0182V,PW0043,06/23/2023,04/26/2023,04/25/2024,04/25/2028,03/09/2023,0.0,142080.0,0.0,142080.0,0.0,410400.0,CM3CXMWM13T5,JTF BUSINESS SYSTEMS INC,,1BUZ7,7370 STEEL MILL DR,,SPRINGFIELD,VA,221503600,USA,UNITED STATES,(703) 658-2000,(703) 658-2001,VIRGINIA 11,R799,SUPPORT- MANAGEMENT: OTHER,323113.0,COMMERCIAL SCREEN PRINTING,VA,,USA,CHARLOTTESVILLE CITY,CHARLOTTESVILLE,,22903,1300.0,,2025-04-04-0017
24322624F0022,Office of Personnel Management,KARCHER GROUP INC,408752,Federal Executive Institute (FEI) Audio-Visual (AV) Technology Upgrades and Maintenance Support- modification to change the COR in the PRISM system to correctly match the contract.,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2400&PIID=24322624F0022&modNumber=A00005&idvAgencyID=&idvPIID=47QTCA19D008M&contractType=AWARD,3/28/2025,74726,2400,24322624F0022,A00005,4732,47QTCA19D008M,PA0033,01/14/2025,01/02/2024,01/02/2026,01/02/2029,08/28/2023,0.0,315764.7,0.0,315764.7,0.0,390490.7,UU3SXMH85PH9,KARCHER GROUP INCORPORATED,,0ET80,14221 WILLARD RD,STE 1500,CHANTILLY,VA,201512957,USA,UNITED STATES,(703) 631-6626,(703) 631-3476,VIRGINIA 11,5836,VIDEO RECORDING AND REPRODUCING EQUIPMENT,334290.0,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20415,1.0,,2025-04-04-0017
24322623C0003,Office of Personnel Management,"LEADERSHIP CONNECT, INC.",161630,Leadership Connect,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2400&PIID=24322623C0003&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,43411,2400,24322623C0003,P00004,,,,03/27/2025,11/22/2022,11/21/2025,11/21/2026,10/15/2022,0.0,118219.0,0.0,118219.0,0.0,161630.0,YMUDLKMEEC65,"LEADERSHIP CONNECT, INC.",,0F8R5,1407 BROADWAY STE 318,,NEW YORK,NY,100183853,USA,UNITED STATES,(646) 616-3885,,NEW YORK 98,R699,SUPPORT- ADMINISTRATIVE: OTHER,519290.0,WEB SEARCH PORTALS AND ALL OTHER INFORMATION SERVICES,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20015,2021.0,,2025-04-04-0017
24322625P0003,Office of Personnel Management,"ROI INSTITUTE, INC",74500,Delivery of Return on Investment (ROI) Methodology professional development training.,BASE AWARD,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2400&PIID=24322625P0003&modNumber=0&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,0,2400,24322625P0003,0,,,,11/20/2024,11/20/2024,11/20/2025,11/20/2025,,74500.0,,74500.0,,74500.0,,WC5KKMNTABR8,"ROI INSTITUTE, INC",,3YYK4,2803 GREYSTONE COMMERCIAL BLVD,STE 16,BIRMINGHAM,AL,352429603,USA,UNITED STATES,(205) 678-8101,(205) 678-8102,ALABAMA 06,U099,EDUCATION/TRAINING- OTHER,611430.0,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20415,2.0,,2025-04-04-0017
24322624P0008,Office of Personnel Management,TING INTERNET LLC,61680,"Enterprise gigabit fiber connection with SLA to the internet with 5 static IPs at the Federal Executive Institute, 1301 Emmet Street, Charlottesville, VA.",OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2400&PIID=24322624P0008&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD,3/28/2025,49344,2400,24322624P0008,P00001,,,,05/22/2024,04/23/2024,04/12/2029,04/12/2029,03/05/2024,0.0,12336.0,0.0,12336.0,0.0,61680.0,HJGJY6ZFFEU9,TING INTERNET LLC,,9TMK4,7700 S WHEELING CT,,CENTENNIAL,CO,801124806,USA,UNITED STATES,(540) 300-3805,,COLORADO 06,DD01,"IT AND TELECOM - SERVICE DELIVERY SUPPORT SERVICES: ITSM, OPERATIONS CENTER, PROJECT/PM (LABOR)",516110.0,RADIO BROADCASTING STATIONS,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20415,2.0,,2025-04-04-0017
24322624F0175,Office of Personnel Management,"INSIGHT MANAGEMENT CONSULTING, LLC",11879,Crucial conversations virtual participant kits,Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2400&PIID=24322624F0175&modNumber=0&idvAgencyID=&idvPIID=24322623A0021&contractType=AWARD,3/28/2025,0,2400,24322624F0175,0,2400,24322623A0021,P00001,08/12/2024,08/12/2024,03/01/2025,03/01/2025,,11879.0,,11879.0,,11879.0,,FDM2V5EM7K95,"INSIGHT MANAGEMENT CONSULTING, LLC",INSIGHT MANAGEMENT CONSULTING,4HNH1,1855 KINGS PLACE,,CROFTON,MD,211142621,USA,UNITED STATES,(410) 451-2366,,MARYLAND 05,6910,TRAINING AIDS,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,DC,,USA,DISTRICT OF COLUMBIA,WASHINGTON,,20415,2.0,,2025-04-04-0017
24322624F0094,Office of Personnel Management,"INSIGHT MANAGEMENT CONSULTING, LLC",6052,Crucial Conversations Packets,"Below Micro Purchase Level of $25k, Micro Purchases are not required to be entered into FPDS",,3/28/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
24322624F0228,Office of Personnel Management,"INSIGHT MANAGEMENT CONSULTING, LLC",4989,Crucial Conversations packets for VHA training sessions,"Below Micro Purchase Level of $25k, Micro Purchases are not required to be entered into FPDS",,3/28/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
24322624F0092,Office of Personnel Management,"INSIGHT MANAGEMENT CONSULTING, LLC",4276,Crucial Conversion Packets,"Below Micro Purchase Level of $25k, Micro Purchases are not required to be entered into FPDS",,3/28/2025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-04-0017
70SBUR24F00000272,Department of Homeland Security,DESIGNS BY STACEY INC,525119,"SENIOR GRAPHIC DESIGN SPECIALIST TO SUPPORT THE CREATION, MODIFICATION, IMPLEMENTATION, MAINTENANCE, AND PHYSICAL PRODUCTION OF GRAPHIC VISUAL COMMUNICATION IN SUPPORT OF USCIS AND MANAGEMENT MISSION",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7003&PIID=70SBUR24F00000272&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA19D005M&contractType=AWARD,3/28/2025,353594,7003,70SBUR24F00000272,P00003,4732,47QRAA19D005M,0,02/26/2025,09/25/2024,10/28/2025,09/28/2027,08/29/2024,0.0,171524.14,0.0,171524.14,0.0,525118.54,EKSRXJQUQLT5,DESIGNS BY STACEY INC,,75A31,855 MORNING CREEK LN,,SUWANEE,GA,300243791,USA,UNITED STATES,(678) 772-2543,(678) 482-2832,GEORGIA 09,T001,PHOTO/MAP/PRINT/PUBLICATION- ARTS/GRAPHICS,541810.0,ADVERTISING AGENCIES,MD,,USA,HOWARD,CAMP SPRINGS,,20588,9.0,,2025-04-04-0017
