agency,uploaded_on,value,uploaded_dt,dt_scrape,description
DEPARTMENT OF EDUCATION,2/7/2025,9475685.0,2025-02-07,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/7/2025,6862220.0,2025-02-07,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/7/2025,7323924.0,2025-02-07,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,12192041.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,13757722.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,6262866.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,9999851.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,9219756.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,4525065.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,14252797.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,9876928.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,10261487.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,17731785.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,8652361.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,9146065.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,7220136.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,5406889.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,14797304.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,3348763.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,9150854.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,4506218.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,11653965.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,13318352.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,5277224.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,6903111.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,2775628.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,662744.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,15005675.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,5947162.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,3931044.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,2172133.0,2025-02-10,2025-03-05-1332,
DEPARTMENT OF EDUCATION,2/10/2025,3490854.0,2025-02-10,2025-03-05-1332,
USAID,1/24/2025,2365702.0,2025-01-24,2025-03-05-1332,
USAID,1/30/2025,8000000.0,2025-01-30,2025-03-05-1332,
USAID,2/10/2025,15700000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,24500000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,19526440.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,1500000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,10000000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,1000000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,6000000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,28000000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,11000000.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,15999654.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,1466694.0,2025-02-10,2025-03-05-1332,
USAID,2/10/2025,185000.0,2025-02-10,2025-03-05-1332,
